id,adi,soyadi,eposta,ceptel,dogumtarihi,dogumyeri_tilcelerid,cinsiyet,tckimlikno,kangrubu_tkangruplariid
2217,Yasemin,ATALAYSOYDAN,yasemin.atalaysoydan82@gmail.com,5446080523,1987-07-14,47,f,32473743649,0
2218,Mehmet Ali,PERRY,mehmet ali.perry33@gmail.com,5558723298,1980-05-14,16,t,50744520952,5
2219,Salim,ÇOPUR,salim.çopur28@gmail.com,5467848544,1989-07-17,6,t,36458925642,0
2220,Asuman,SERİ,asuman.seri69@gmail.com,5602326269,1993-03-12,25,f,48973565463,1
2221,Doğan,YILDIRIM,doğan.yıldırım71@gmail.com,5408691170,1995-10-17,36,t,51909827704,5
2222,Nagehan,DEMİRÖZ,nagehan.demiröz72@gmail.com,5318657342,1991-07-08,55,f,28814675914,0
2223,İsmail,DAĞ,ismail.dağ50@gmail.com,5423995908,1992-11-11,40,t,72709788859,0
2224,Hamdullah,ESEN,hamdullah.esen80@gmail.com,5335092115,1992-06-21,65,t,14810634853,1
2225,Ebru,ALA,ebru.ala34@gmail.com,5367186181,1991-09-02,34,f,69321865244,0
2226,Necip,GÜNGÖR,necip.güngör39@gmail.com,5515647764,1987-11-28,33,t,48833013988,3
2227,Arif Barış,MISTAÇOĞLU,arif barış.mıstaçoğlu82@gmail.com,5501881403,1994-01-13,6,t,19751781997,0
2228,Ramazan,ÖZTÜRK,ramazan.öztürk25@gmail.com,5578114489,2002-12-09,5,t,97214023034,0
2229,Mustafa Said,YUCELİK,mustafa said.yucelik39@gmail.com,5438051861,2003-09-02,61,t,75970805061,7
2230,Oya,GÜVENÇ ULUÇLAR,oya.güvenç uluçlar90@gmail.com,5514300709,1983-03-16,45,f,76053688051,0
2231,Can,HİRABE,can.hirabe58@gmail.com,5356558949,1985-11-05,35,t,53185316693,0
2232,Ayşen,SARIBEYOGLU,ayşen.sarıbeyoglu12@gmail.com,5545756867,1991-06-08,15,f,71239283977,0
2233,Celalettin,Y,celalettin.y34@gmail.com,5476878584,1985-11-15,25,t,69060676013,8
2234,Zeliha,AKARSU,zeliha.akarsu21@gmail.com,5486975327,2000-08-22,63,f,68239101314,2
2235,Oya,KÖMÜRCÜ,oya.kömürcü52@gmail.com,5471899707,2002-10-13,17,f,85678755815,0
2236,Yusuf,VURAL,yusuf.vural47@gmail.com,5499060341,2002-02-22,61,t,96629283455,0
2237,Engin,ÇETİNER,engin.çetiner95@gmail.com,5325421218,1980-05-08,6,t,39734136783,0
2238,Gözde,İSLAM,gözde.islam94@gmail.com,5397248357,1982-03-26,6,f,80356495554,0
2239,Hanifi,SHARİF,hanifi.sharif91@gmail.com,5454385836,1981-08-16,46,t,78235644186,7
2240,Nurullah,ATEŞCİ,nurullah.ateşci26@gmail.com,5352802527,1981-02-10,13,t,14577212670,5
2241,Arzu Çiftoğlu,SIMONOVIC,arzu çiftoğlu.sımonovıc17@gmail.com,5574924489,2003-01-16,34,f,29585896312,1
2242,Burak,DOĞAN,burak.doğan11@gmail.com,5323615146,1987-10-08,34,t,19531563778,1
2243,Ali,AKCA,ali.akca72@gmail.com,5456091473,1985-01-25,61,t,51324188996,0
2244,Yusuf,HANSU,yusuf.hansu86@gmail.com,5605542960,2003-11-14,41,t,20483970686,7
2245,Erdem,DEVECİOĞLU,erdem.devecioğlu27@gmail.com,5565234719,1990-02-05,6,t,77193885094,8
2246,Bekir,SARI,bekir.sarı67@gmail.com,5445496423,1997-02-09,2,t,83320191127,0
2247,Ahmet Korkut,ÇEVİK,ahmet korkut.çevik64@gmail.com,5479123967,1988-10-15,10,t,56051407070,0
2248,Necmettin,ÇETİNKAYA,necmettin.çetinkaya95@gmail.com,5438839478,1984-09-16,58,t,35235244512,0
2250,Mehmet Bedri,MOHAMMADI BAZARGANI,mehmet bedri.mohammadı bazarganı49@gmail.com,5445624565,1991-04-11,21,t,33400551647,7
2251,Fehime Cangüzel,OZAR,fehime cangüzel.ozar97@gmail.com,5344911424,1984-01-19,6,f,99885757552,0
2252,Mete,DİLBEROĞLU,mete.dilberoğlu57@gmail.com,5372865299,1999-09-22,10,t,86704052976,1
2253,Ömer Cüneyt,CEYLAN,ömer cüneyt.ceylan49@gmail.com,5323625345,1989-01-09,34,t,33598700493,0
2254,Hilal Özden,ÇEÇEN,hilal özden.çeçen79@gmail.com,5535911538,1981-06-26,34,f,49730200660,0
2255,Rukiye Gülay,BABAYEV,rukiye gülay.babayev74@gmail.com,5381269495,1982-06-22,34,f,50838021546,7
2256,Rıtvan,ŞEREF,rıtvan.şeref73@gmail.com,5455420220,2000-12-18,57,t,98184418308,1
2257,Ala,KOLUKISA,ala.kolukısa85@gmail.com,5456017280,2003-06-24,34,f,10811987575,1
2258,Nejat,AYDIN,nejat.aydın80@gmail.com,5579028925,1983-12-28,35,t,11141370380,3
2259,Ebru,EMİRALİOĞLU,ebru.emiralioğlu50@gmail.com,5494794382,1991-09-28,34,f,13676309521,7
2260,Ahmet,Y,ahmet.y79@gmail.com,5495898431,1983-01-21,61,t,14560129961,0
2261,Murat Ali,ÖZDEMİR,murat ali.özdemir58@gmail.com,5607640195,1982-03-25,6,t,39028361835,0
2262,Rıfat,ÇAKIROĞLU,rıfat.çakıroğlu11@gmail.com,5412209833,1985-03-25,61,t,47827652386,0
2263,Sezgin,ÇAĞLIN USTA,sezgin.çağlın usta95@gmail.com,5311825165,2001-07-24,34,t,21280389608,0
2264,Mehmet,DOĞAN,mehmet.doğan87@gmail.com,5502996365,1989-10-12,44,t,26091214498,0
2265,Abdül Halim,UZER,abdül halim.uzer24@gmail.com,5345679327,1982-07-16,34,t,70333464762,0
2266,Nurullah,YÜCETÜRK,nurullah.yücetürk50@gmail.com,5507720681,1995-12-23,34,t,33282442997,0
2267,Ahmet Oğuz,CANSU,ahmet oğuz.cansu87@gmail.com,5422188944,1993-07-16,5,t,14297116047,0
2268,Mustafa Cem,PELTEKOĞLU,mustafa cem.peltekoğlu41@gmail.com,5311369838,1981-09-07,61,t,91058097931,0
2269,Hacer Şaduman,GADİMOV,hacer şaduman.gadimov64@gmail.com,5523653902,1980-03-15,52,f,20665045444,0
2270,Fatma Nur,BOĞAZ,fatma nur.boğaz55@gmail.com,5482646646,1992-09-13,34,f,20566014539,1
2271,Özgür,ŞENER,özgür.şener69@gmail.com,5305039170,1995-03-05,34,t,64887656737,0
2272,Oğuz,KÖSE,oğuz.köse12@gmail.com,5586592254,1996-10-23,45,t,33561165422,1
2273,Mustafa,CEYLAN,mustafa.ceylan23@gmail.com,5558831977,1988-06-17,18,t,52130499553,0
2274,Ahu Tuğba,TÜRKAY,ahu tuğba.türkay85@gmail.com,5574302639,1998-02-25,34,f,82094833527,7
2275,Ekrem,YILAMU,ekrem.yılamu10@gmail.com,5347226349,1997-02-10,35,t,36687745921,0
2276,Sıbkat,Y,sıbkat.y48@gmail.com,5431754310,2001-06-07,25,t,23614097525,0
2277,Beliz,ATUKUNDA,beliz.atukunda47@gmail.com,5563360544,1996-06-13,6,f,53813776037,0
2278,Berk,YAZICI,berk.yazıcı67@gmail.com,5558185830,1990-07-14,34,t,70989767022,5
2279,Emin Başar,TARIM,emin başar.tarım59@gmail.com,5361418186,1995-12-17,34,t,12498722420,0
2280,Serap,TAŞYÜREK,serap.taşyürek79@gmail.com,5508916183,1984-10-07,34,f,30437444851,1
2281,İdil,DEMİR,idil.demir65@gmail.com,5441119286,1996-01-28,34,f,23348876664,0
2282,Didem Zeynep,YUSUFU,didem zeynep.yusufu89@gmail.com,5411821353,1999-06-19,34,f,32458670571,0
2283,Murat,GÜNER,murat.güner19@gmail.com,5375017633,1995-12-11,34,t,38518504342,1
2284,Zeki,OLPAK,zeki.olpak85@gmail.com,5465610651,1990-02-13,27,t,55720565589,0
2285,Ayşe Emel,YILDIRIM,ayşe emel.yıldırım51@gmail.com,5481600678,1987-08-24,34,f,77147734366,0
2286,Hamıt Haluk,ŞENAT,hamıt haluk.şenat45@gmail.com,5328115549,1990-01-10,52,t,82821696876,5
2287,Şahin,ÖZTOP,şahin.öztop15@gmail.com,5562609894,2000-03-20,44,t,11352022063,0
2288,Muammer,AĞAOĞLU,muammer.ağaoğlu50@gmail.com,5495789272,2003-06-10,61,t,82587939933,0
2289,Ertuğrul,KOCABAY,ertuğrul.kocabay62@gmail.com,5551675728,1991-11-12,67,t,68853079771,7
2290,Mustafa Alper,TAN ŞEHİTOĞLU,mustafa alper.tan şehitoğlu22@gmail.com,5517190730,1995-04-18,32,t,61172809631,1
2291,Hayrettin,UĞUR,hayrettin.uğur58@gmail.com,5593589555,1980-02-26,61,t,17449576209,0
2292,Mustafa Oğuz,SADİOĞLU,mustafa oğuz.sadioğlu82@gmail.com,5336425475,1987-03-24,35,t,43289586322,0
2293,Vural,ATAN,vural.atan62@gmail.com,5592752403,1988-11-08,34,t,87190182834,0
2294,Arif Ateş,GÜLBÜZ CEYLAN,arif ateş.gülbüz ceylan41@gmail.com,5577843385,1996-10-09,34,t,84352455936,0
2295,Nihat,ÖZEN,nihat.özen16@gmail.com,5313102112,1984-05-22,54,t,17190618159,0
2296,Nazım,TÜRKBAĞ,nazım.türkbağ21@gmail.com,5608312267,1987-02-27,34,t,97251367624,0
2297,Yusuf,SEZEN,yusuf.sezen21@gmail.com,5377719902,1989-04-02,61,t,36470591601,1
2298,Bülent,YAZICI KESKİN,bülent.yazıcı keskin84@gmail.com,5495969517,1999-10-05,1,t,24203500295,1
2299,Elçin,ERHAN,elçin.erhan76@gmail.com,5581834854,1991-05-06,34,f,92051988056,3
2300,Vedat,TOPTAŞ,vedat.toptaş93@gmail.com,5537132299,1980-09-14,23,t,93342459983,1
2301,Gülçin,KART,gülçin.kart50@gmail.com,5476021888,1995-11-07,34,f,60612756311,0
2302,Serhan,AIERKEN,serhan.aıerken40@gmail.com,5394245877,1985-10-18,34,t,91385561206,7
2303,Muhittin,UYAN,muhittin.uyan31@gmail.com,5375082836,1990-10-19,41,f,45535131515,0
2304,SAHABETTİN TAHA,GULIMIRE,sahabettin taha.gulımıre89@gmail.com,5391834898,1996-09-21,30,t,72234099864,2
2305,Betül,ALBAYRAK,betül.albayrak20@gmail.com,5571549681,1991-12-25,81,f,61504694166,0
2306,Ahmet Hayri,BAYKAL,ahmet hayri.baykal87@gmail.com,5344912117,1999-01-12,61,t,98134779425,1
2307,Hasan,ŞEHAN,hasan.şehan10@gmail.com,5376643659,1984-08-20,61,t,16335042892,0
2308,Selim Yüksel,GÜNGÖR,selim yüksel.güngör44@gmail.com,5457204564,2000-03-07,6,t,80515155664,7
2309,Osman,GÜRBÜZ,osman.gürbüz45@gmail.com,5404716121,1997-01-17,25,t,44690340121,0
2310,Mecit,ZORER,mecit.zorer41@gmail.com,5448666381,1993-03-04,35,t,97865725537,0
2311,Masum,MAHSERECİ,masum.mahsereci35@gmail.com,5413244286,2003-05-04,47,t,25851252974,0
2312,Ali Altuğ,ABACIK,ali altuğ.abacık93@gmail.com,5583680131,1997-09-14,34,t,39393013135,1
2313,Erdinç,GELMEZ,erdinç.gelmez86@gmail.com,5491731963,1993-04-05,40,t,44128075827,0
2314,İlker,MARANCI,ilker.marancı61@gmail.com,5341155455,1986-07-20,34,f,44911181676,7
2315,Başak Erdem,ELGENDY,başak erdem.elgendy61@gmail.com,5457569240,1980-06-27,34,f,29626945245,0
2316,Gülay,DEMİRBAŞ,gülay.demirbaş60@gmail.com,5391292668,1987-02-21,55,f,74118920052,0
2317,Habip,Y,habip.y83@gmail.com,5432423772,1990-02-23,61,t,74521104534,5
2318,Hüseyin,BACAKOĞLU,hüseyin.bacakoğlu60@gmail.com,5493200249,1991-01-11,10,t,66195761571,0
2319,Figen,İSMAEL,figen.ismael10@gmail.com,5451223475,1985-06-14,34,f,58071313181,7
2320,Kemal,ŞAHİN,kemal.şahin13@gmail.com,5394796575,1993-06-28,76,t,55689804766,1
2321,İsmet Kahraman,DİRİK,ismet kahraman.dirik45@gmail.com,5327741231,1991-11-20,44,t,41190073749,0
2322,Nigar,KAYA,nigar.kaya45@gmail.com,5351415600,1997-09-05,14,f,36890047798,1
2323,Necla Öykü,ŞAHİN,necla öykü.şahin47@gmail.com,5436351821,2000-03-14,34,f,44133371929,7
2324,Ayşen,DİLİMULATİ,ayşen.dilimulati19@gmail.com,5314628927,2000-01-06,34,f,92704226089,0
2325,Rana Atabay,AĞIRTMIŞ,rana atabay.ağırtmış25@gmail.com,5381715620,1988-11-05,55,f,23712725257,0
5159,Seda,Y,seda.y70@gmail.com,5365467383,1989-06-22,34,f,64510928998,1
2326,İdris,İBRAHİM,idris.ibrahim78@gmail.com,5502301364,2002-07-02,34,t,96805788636,7
2327,Hasan,GÜNEŞ,hasan.güneş66@gmail.com,5343826440,1998-02-20,70,t,89878566985,0
2328,İbrahim,MİAD,ibrahim.miad77@gmail.com,5397341332,1992-09-15,42,t,35160624057,0
2329,Elif,MC KEE,elif.mc kee50@gmail.com,5473260652,2003-08-04,16,f,74130694600,1
2330,Fatma Ceren,İLBEYİ,fatma ceren.ilbeyi99@gmail.com,5343832295,1993-02-11,31,f,31451757849,0
2331,Ali Bülent,UĞUR,ali bülent.uğur87@gmail.com,5465225921,2002-12-16,34,t,62750376628,0
2332,Ömer Faruk,ERDİN,ömer faruk.erdin75@gmail.com,5512861633,1996-08-16,27,t,74459732803,1
2333,Ali Osman,TUNÇ,ali osman.tunç69@gmail.com,5476500426,2000-09-26,42,t,40786391431,0
2334,MEHMET HASAN,MOHAMED,mehmet hasan.mohamed18@gmail.com,5538422996,1991-11-25,73,t,92833455934,0
2335,Suna,ÖZDEMİR,suna.özdemir20@gmail.com,5395412625,1990-10-19,34,f,67754227984,0
2336,Ebru,UNUTUR,ebru.unutur37@gmail.com,5398525355,1984-04-15,45,f,81685485329,0
2337,Esin,KURT,esin.kurt62@gmail.com,5464807719,1990-02-23,34,f,16505823414,1
2338,Yaprak,BİLİCİ,yaprak.bilici93@gmail.com,5494421741,1999-02-18,34,f,41149308907,0
2339,Vahit Ferhan,BABATAŞ İREN,vahit ferhan.babataş iren26@gmail.com,5601761890,1989-05-18,34,t,37107823769,0
2340,Serkan,EKİCİ,serkan.ekici64@gmail.com,5606085346,2000-08-25,34,t,82761637785,7
2341,Hicabi,KARAHAN,hicabi.karahan45@gmail.com,5596766412,1983-10-12,66,t,29282659038,5
2342,Selda,TİRYAKİOĞLU,selda.tiryakioğlu80@gmail.com,5351746991,1992-01-10,34,f,22966186946,0
2343,Atila,BEKTAŞ,atila.bektaş23@gmail.com,5484114193,1990-09-15,40,t,57091082609,0
2345,Ali Işık,KARAKOL,ali ışık.karakol78@gmail.com,5424578992,2002-04-16,34,t,13741722805,0
2346,Bekir Berat,AZİ MOHAMED,bekir berat.azi mohamed44@gmail.com,5494028424,1988-07-14,24,t,67181228950,0
2347,Mim Kemal Bülent,AYKUT,mim kemal bülent.aykut39@gmail.com,5555602875,1995-11-14,34,t,42017470111,0
2348,Firuze İlgin,CÜCİOĞLU,firuze ilgin.cücioğlu76@gmail.com,5532010523,1994-06-02,34,f,48640558016,0
2350,Elif Kısar,ÇETİN,elif kısar.çetin40@gmail.com,5447796546,1980-08-12,34,f,64823576166,0
2351,Ali Resül,YAŞAR,ali resül.yaşar97@gmail.com,5539130948,1987-02-22,14,t,89434677350,0
2352,Melike Kıvanç,HAZNEDAROĞLU,melike kıvanç.haznedaroğlu80@gmail.com,5351498428,1992-10-21,41,f,88066461887,0
2353,Oya,OZBUK,oya.ozbuk58@gmail.com,5589094780,1984-10-07,22,f,78591691237,0
2354,Mehmet Saim,ALİU,mehmet saim.aliu18@gmail.com,5382387304,1981-09-02,17,t,96981296738,0
2355,Ali Osman,SÜMER,ali osman.sümer90@gmail.com,5341073227,1981-07-03,43,t,72162618748,0
2356,Ahmet Coşkun,UZUN,ahmet coşkun.uzun62@gmail.com,5551625171,1996-10-11,27,t,12655588905,0
2357,Nagehan,KILIÇ,nagehan.kılıç42@gmail.com,5482197998,1999-10-03,6,f,71197388951,3
2359,Emine Sare,ELEZİ,emine sare.elezi46@gmail.com,5508310363,1991-11-16,67,f,88788628913,2
2360,Fatma Serab,Y,fatma serab.y29@gmail.com,5514445302,2001-01-19,6,f,92825372190,7
2361,Hasan Basri,BAYRAM,hasan basri.bayram70@gmail.com,5548191841,1985-04-10,26,t,23314218175,1
2362,Halil İbrahim,DELİGÖZ,halil ibrahim.deligöz27@gmail.com,5575502792,1998-04-20,34,t,83455457751,1
2363,Kemal,YILDIZ,kemal.yıldız90@gmail.com,5462397991,1990-10-11,1,t,84406176291,2
2364,İsmail,SAPARALI UULU,ismail.saparalı uulu75@gmail.com,5455475572,1985-09-20,23,t,28447934237,0
2365,Mert Eren,AYKAÇ,mert eren.aykaç25@gmail.com,5307295211,1994-11-27,34,t,78159148820,7
2366,Okşan,ŞAHİN,okşan.şahin84@gmail.com,5332208267,1980-05-15,34,f,32685481991,0
2367,Osman,KARCI,osman.karcı88@gmail.com,5362885156,1999-06-09,10,t,69345143182,0
2368,Mustafa Emre,DEMİRÇİ,mustafa emre.demirçi49@gmail.com,5538921105,1998-12-25,34,t,39647195979,0
2369,Ali,ÖZKIR,ali.özkır26@gmail.com,5354437556,1998-08-06,34,t,43874910791,0
2370,Murat,ATEŞLİ,murat.ateşli85@gmail.com,5433752475,1989-02-20,34,t,42124473785,0
2371,Şahin,ÖZTÜRK,şahin.öztürk39@gmail.com,5586965440,2000-02-24,48,t,62830381865,1
2372,İsmail,AK,ismail.ak57@gmail.com,5435697384,1981-04-09,16,t,54220551246,3
2373,Timur,ERMAN,timur.erman56@gmail.com,5335219702,2003-12-12,21,t,85047934692,4
2374,Mustafa Emre,ELSAİD MOSTAFA,mustafa emre.elsaid mostafa50@gmail.com,5471741661,1986-12-25,34,t,62289591235,2
2376,Muharrem,AKTAŞ,muharrem.aktaş26@gmail.com,5465059162,1991-12-15,6,t,36244198077,0
2377,Nüzhet,EREN,nüzhet.eren25@gmail.com,5307065458,1996-12-28,59,t,64813566502,2
2378,Engin,Bilir,engin.bilir11@gmail.com,5423430175,1996-03-15,34,t,88632164333,0
2379,Mustafa Cevdet,KINCI,mustafa cevdet.kıncı93@gmail.com,5602375264,1997-08-11,59,t,62734025131,0
2380,Mustafa,ÖZCAN,mustafa.özcan80@gmail.com,5413722755,1998-01-21,61,t,79211543710,0
2382,Yücel,PASTIRMACI,yücel.pastırmacı11@gmail.com,5368414676,1997-07-18,34,t,84030271392,0
2383,Kadir Özgür,TERCAN,kadir özgür.tercan19@gmail.com,5403553965,1987-09-14,34,t,42852137556,3
2384,Kayıhan,BARIŞ,kayıhan.barış97@gmail.com,5365932572,1990-04-01,34,t,82605134697,2
2385,Zafer,EKİM,zafer.ekim54@gmail.com,5353376834,1993-12-11,47,f,76540706421,5
2386,Olcay,Aslanhan,olcay.aslanhan24@gmail.com,5325303247,1985-10-20,34,f,23597124112,0
2387,Ayhan,DUTOĞLU,ayhan.dutoğlu25@gmail.com,5362398529,1987-08-13,28,t,17615491350,0
2388,Abdülkadir,YORULMAZ,abdülkadir.yorulmaz31@gmail.com,5489103353,1987-06-25,27,t,33450598434,0
2389,Hüner,PARLAK,hüner.parlak25@gmail.com,5487062725,1984-03-22,39,t,63163588739,0
2390,Nilgün,SARI,nilgün.sarı84@gmail.com,5553797379,1994-10-03,6,f,21943570242,0
2391,Beyza,KAZDAL,beyza.kazdal16@gmail.com,5385754323,1985-08-22,34,t,28740051385,0
2392,Nimet,SERTTAŞ,nimet.serttaş74@gmail.com,5516695485,1990-12-02,35,f,30544318002,0
2397,Ahu,UĞURERKAN,ahu.uğurerkan89@gmail.com,5603441580,2002-01-13,34,f,12689835455,7
2398,Ipek Bılge,ÇAĞLAR,ıpek bılge.çağlar84@gmail.com,5337806238,1989-12-09,34,f,98158160222,0
2400,Şerli,DEMETGÜL,şerli.demetgül10@gmail.com,5425726529,1994-12-25,34,f,75475995266,0
2401,Sezgin,EKİNCİ,sezgin.ekinci13@gmail.com,5405868693,1990-06-08,6,t,93146509239,0
2402,Zülfiye,YILDIZ,zülfiye.yıldız78@gmail.com,5366860406,1992-04-27,50,f,60761462870,7
2403,Can,KORKMAZ,can.korkmaz92@gmail.com,5567978733,1992-04-10,17,t,20654057158,0
2404,Ersoy Mevlut,SÜMER,ersoy mevlut.sümer69@gmail.com,5352958273,1984-12-02,34,t,90500185266,7
2405,Canan,BASATEMİR,canan.basatemir28@gmail.com,5442500711,2002-02-06,43,f,31342708095,1
2406,Emel,BARUT,emel.barut40@gmail.com,5304296400,1990-12-13,3,f,29966227753,1
2407,Fatma Nilgün,ARIOĞLU,fatma nilgün.arıoğlu96@gmail.com,5453422617,2003-12-21,34,f,17884586879,0
2408,Mehmet Savas,IŞILGA,mehmet savas.ışılga54@gmail.com,5338688623,1987-12-11,34,t,51171561411,0
2409,Sultan Nur,ALPTEKİN,sultan nur.alptekin18@gmail.com,5355920844,1993-08-14,34,f,44315398198,0
2410,Zeynep,ÖZBİLEN,zeynep.özbilen87@gmail.com,5319098891,2001-05-22,34,f,84902704186,0
2411,Seçkin,AYTAŞKIN,seçkin.aytaşkın29@gmail.com,5575679392,1982-07-24,34,t,68288581600,1
2412,Ece,ERDİL,ece.erdil23@gmail.com,5336314549,2000-09-04,34,f,16550324962,0
2413,Özlem,ÇELEBİ,özlem.çelebi60@gmail.com,5517163611,1984-02-23,34,f,48866309153,1
2414,YEŞİM,MANAV,yeşim.manav48@gmail.com,5313806977,1988-08-11,34,f,56090111664,7
2415,Pınar,NURLAN,pınar.nurlan66@gmail.com,5321171134,1994-04-05,34,f,11986658696,0
2416,Müge,MUZORORI,müge.muzororı97@gmail.com,5551800449,1996-11-09,54,f,94687493785,0
2417,Alev Aydoğan,ŞEYRANLIOĞLU,alev aydoğan.şeyranlıoğlu80@gmail.com,5393099515,2002-06-25,23,f,31426584100,0
2418,Beldan,PASHOVA,beldan.pashova79@gmail.com,5384613908,1987-08-25,34,f,32311521474,1
2419,İlknur,TURAL,ilknur.tural19@gmail.com,5417529622,2003-10-24,34,f,83126317314,0
2420,Ahmet,KIZMAZ,ahmet.kızmaz13@gmail.com,5499100986,1987-12-04,34,t,11301853208,0
2421,Fatih,Y,fatih.y91@gmail.com,5524133261,2000-05-22,46,t,47732480535,0
2423,Yasemin,SARIKAYA,yasemin.sarıkaya91@gmail.com,5592377312,2001-06-21,16,f,16408471244,7
2424,Aynur,ALAEV,aynur.alaev50@gmail.com,5553499880,1987-08-16,1,f,34447906817,0
2425,Gözde Sunal,ÇAYIROĞLU,gözde sunal.çayıroğlu91@gmail.com,5422781911,1990-01-11,35,f,95052335391,7
2426,Abdullah,SEFİL,abdullah.sefil87@gmail.com,5443804353,1995-10-26,8,t,72765323934,7
2427,Elif,UZUN,elif.uzun88@gmail.com,5407872795,1988-04-25,23,f,94119356833,0
2428,Berke,ATEŞ,berke.ateş21@gmail.com,5336988739,1997-08-16,33,f,47922589207,1
2429,Lütfü,YOLCHUYEV,lütfü.yolchuyev39@gmail.com,5368901700,1989-12-20,52,t,19454329868,0
2430,Sinem,DEMİR,sinem.demir64@gmail.com,5374874125,1984-01-20,21,f,94003987257,7
2431,Hasan Kadir,YILMAZ,hasan kadir.yılmaz20@gmail.com,5336598762,1991-02-25,61,t,60689517475,1
2432,Mahmut Sami,AK,mahmut sami.ak10@gmail.com,5312650584,1997-03-10,42,t,89418596120,0
2433,İsrafil,YILMAZ,israfil.yılmaz28@gmail.com,5394756612,1996-06-06,28,t,39193555036,0
2434,Mehmet,NARDEMİR,mehmet.nardemir12@gmail.com,5585887887,1993-09-04,43,t,42571214039,1
2435,Hakan,KAMASHIDZE,hakan.kamashıdze70@gmail.com,5374063713,1980-11-13,34,t,92710497294,7
2436,Pınar,AĞDAŞ,pınar.ağdaş70@gmail.com,5361736546,1980-04-15,34,f,62306782634,7
2437,Ömer Erdem,SHAMSİBASHA,ömer erdem.shamsibasha20@gmail.com,5516904992,2002-05-22,34,t,63463375345,0
2438,Ali Kürşat,AKIL,ali kürşat.akıl88@gmail.com,5396704241,1992-11-11,3,t,73418323774,7
