id,ders_tderslerid,ogrenci_tkullanicilarid,vize,final,harf,DersID,bolum_tbolumlerid,adi_x,teori,uygulama,akts,KullaniciID,adi_y,soyadi,eposta,ceptel,dogumtarihi,dogumyeri_tilcelerid,cinsiyet,tckimlikno,kangrubu_tkangruplariid
11,81,7031,97.0,100.0,,81,15,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,7031,Uğur,YILDIRIM,uğur.yıldırım98@gmail.com,5481390480,2003-01-27,44,True,74752691738,0
12,133,7031,49.0,34.0,,133,15,İngilizce,4,0,4,7031,Uğur,YILDIRIM,uğur.yıldırım98@gmail.com,5481390480,2003-01-27,44,True,74752691738,0
13,25,5225,75.0,34.0,,25,11,Türk Dili,4,0,4,5225,Orçun,ÖZER,orçun.özer67@gmail.com,5375080915,2002-09-21,34,True,34943049486,0
14,77,5225,60.0,18.0,,77,11,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,5225,Orçun,ÖZER,orçun.özer67@gmail.com,5375080915,2002-09-21,34,True,34943049486,0
15,129,5225,21.0,44.0,,129,11,İngilizce,4,0,4,5225,Orçun,ÖZER,orçun.özer67@gmail.com,5375080915,2002-09-21,34,True,34943049486,0
16,24,7306,76.0,76.0,,24,10,Türk Dili,4,0,4,7306,Füsun,TAVUS,füsun.tavus 90@gmail.com,5322446668,1986-09-19,6,False,86020238852,0
17,76,7306,12.0,2.0,,76,10,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,7306,Füsun,TAVUS,füsun.tavus 90@gmail.com,5322446668,1986-09-19,6,False,86020238852,0
18,128,7306,89.0,71.0,,128,10,İngilizce,4,0,4,7306,Füsun,TAVUS,füsun.tavus 90@gmail.com,5322446668,1986-09-19,6,False,86020238852,0
19,30,2208,68.0,58.0,,30,16,Türk Dili,4,0,4,2208,Gökhan,AY,gökhan.ay94@gmail.com,5525585652,1991-07-01,61,True,27507041167,1
20,82,2208,13.0,26.0,,82,16,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,2208,Gökhan,AY,gökhan.ay94@gmail.com,5525585652,1991-07-01,61,True,27507041167,1
21,134,2208,72.0,66.0,,134,16,İngilizce,4,0,4,2208,Gökhan,AY,gökhan.ay94@gmail.com,5525585652,1991-07-01,61,True,27507041167,1
22,64,8639,69.0,98.0,,64,290,Türk Dili,4,0,4,8639,Samet,ÖZTÜRK,samet.öztürk65@gmail.com,5341122159,1993-04-17,6,True,73653281859,0
23,116,8639,77.0,21.0,,116,290,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,8639,Samet,ÖZTÜRK,samet.öztürk65@gmail.com,5341122159,1993-04-17,6,True,73653281859,0
24,168,8639,31.0,60.0,,168,290,İngilizce,4,0,4,8639,Samet,ÖZTÜRK,samet.öztürk65@gmail.com,5341122159,1993-04-17,6,True,73653281859,0
25,49,6243,88.0,12.0,,49,103,Türk Dili,4,0,4,6243,Aslı,SOYSAL,aslı.soysal19@gmail.com,5573536610,1984-07-19,59,False,84252145879,0
26,101,6243,10.0,85.0,,101,103,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,6243,Aslı,SOYSAL,aslı.soysal19@gmail.com,5573536610,1984-07-19,59,False,84252145879,0
27,153,6243,69.0,90.0,,153,103,İngilizce,4,0,4,6243,Aslı,SOYSAL,aslı.soysal19@gmail.com,5573536610,1984-07-19,59,False,84252145879,0
28,44,8546,63.0,13.0,,44,75,Türk Dili,4,0,4,8546,Selahattin,EKMEN,selahattin.ekmen51@gmail.com,5474361164,1985-08-18,34,True,33595669782,0
29,96,8546,90.0,7.0,,96,75,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,8546,Selahattin,EKMEN,selahattin.ekmen51@gmail.com,5474361164,1985-08-18,34,True,33595669782,0
30,148,8546,71.0,56.0,,148,75,İngilizce,4,0,4,8546,Selahattin,EKMEN,selahattin.ekmen51@gmail.com,5474361164,1985-08-18,34,True,33595669782,0
31,39,5129,86.0,69.0,,39,29,Türk Dili,4,0,4,5129,Burcu,KARAÇAY,burcu.karaçay16@gmail.com,5587496648,1988-10-14,34,False,30511963099,0
32,91,5129,65.0,24.0,,91,29,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,5129,Burcu,KARAÇAY,burcu.karaçay16@gmail.com,5587496648,1988-10-14,34,False,30511963099,0
33,143,5129,55.0,52.0,,143,29,İngilizce,4,0,4,5129,Burcu,KARAÇAY,burcu.karaçay16@gmail.com,5587496648,1988-10-14,34,False,30511963099,0
34,25,7533,60.0,97.0,,25,11,Türk Dili,4,0,4,7533,Fatma,AYGÜL,fatma.aygül30@gmail.com,5441883895,1993-03-13,58,False,62025659869,0
35,77,7533,78.0,94.0,,77,11,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,7533,Fatma,AYGÜL,fatma.aygül30@gmail.com,5441883895,1993-03-13,58,False,62025659869,0
36,129,7533,92.0,67.0,,129,11,İngilizce,4,0,4,7533,Fatma,AYGÜL,fatma.aygül30@gmail.com,5441883895,1993-03-13,58,False,62025659869,0
37,28,7592,41.0,88.0,,28,14,Türk Dili,4,0,4,7592,Birol,TEMEL,birol.temel78@gmail.com,5487347771,1985-07-05,55,True,49752932257,0
38,80,7592,66.0,39.0,,80,14,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,7592,Birol,TEMEL,birol.temel78@gmail.com,5487347771,1985-07-05,55,True,49752932257,0
39,132,7592,23.0,37.0,,132,14,İngilizce,4,0,4,7592,Birol,TEMEL,birol.temel78@gmail.com,5487347771,1985-07-05,55,True,49752932257,0
40,59,8644,90.0,36.0,,59,185,Türk Dili,4,0,4,8644,Emre,BARKIN,emre.barkın57@gmail.com,5607599656,1985-05-08,34,True,31434255910,0
41,111,8644,56.0,10.0,,111,185,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,8644,Emre,BARKIN,emre.barkın57@gmail.com,5607599656,1985-05-08,34,True,31434255910,0
42,163,8644,64.0,61.0,,163,185,İngilizce,4,0,4,8644,Emre,BARKIN,emre.barkın57@gmail.com,5607599656,1985-05-08,34,True,31434255910,0
43,25,6450,44.0,9.0,,25,11,Türk Dili,4,0,4,6450,Zeynep Mine,ATALAY,zeynep mine.atalay33@gmail.com,5487652504,1980-12-07,34,False,74894957583,0
44,77,6450,34.0,38.0,,77,11,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,6450,Zeynep Mine,ATALAY,zeynep mine.atalay33@gmail.com,5487652504,1980-12-07,34,False,74894957583,0
45,129,6450,88.0,53.0,,129,11,İngilizce,4,0,4,6450,Zeynep Mine,ATALAY,zeynep mine.atalay33@gmail.com,5487652504,1980-12-07,34,False,74894957583,0
46,55,8473,8.0,25.0,,55,181,Türk Dili,4,0,4,8473,Feyzullah,BAYER,feyzullah.bayer77@gmail.com,5547143763,1988-10-27,44,True,33566605323,0
47,107,8473,18.0,87.0,,107,181,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,8473,Feyzullah,BAYER,feyzullah.bayer77@gmail.com,5547143763,1988-10-27,44,True,33566605323,0
48,159,8473,88.0,60.0,,159,181,İngilizce,4,0,4,8473,Feyzullah,BAYER,feyzullah.bayer77@gmail.com,5547143763,1988-10-27,44,True,33566605323,0
49,56,8137,80.0,24.0,,56,182,Türk Dili,4,0,4,8137,Rukiye Büşra,BAŞYİĞİT,rukiye büşra.başyiğit83@gmail.com,5593951530,1985-03-22,34,False,95185717151,7
50,108,8137,41.0,79.0,,108,182,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,8137,Rukiye Büşra,BAŞYİĞİT,rukiye büşra.başyiğit83@gmail.com,5593951530,1985-03-22,34,False,95185717151,7
51,160,8137,32.0,66.0,,160,182,İngilizce,4,0,4,8137,Rukiye Büşra,BAŞYİĞİT,rukiye büşra.başyiğit83@gmail.com,5593951530,1985-03-22,34,False,95185717151,7
52,28,7443,78.0,82.0,,28,14,Türk Dili,4,0,4,7443,Burcu,ÜZÜMCÜLER,burcu.üzümcüler97@gmail.com,5435206997,1999-05-27,16,False,63224246040,0
53,80,7443,11.0,48.0,,80,14,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,7443,Burcu,ÜZÜMCÜLER,burcu.üzümcüler97@gmail.com,5435206997,1999-05-27,16,False,63224246040,0
54,132,7443,40.0,99.0,,132,14,İngilizce,4,0,4,7443,Burcu,ÜZÜMCÜLER,burcu.üzümcüler97@gmail.com,5435206997,1999-05-27,16,False,63224246040,0
55,53,4444,45.0,25.0,,53,179,Türk Dili,4,0,4,4444,Duygu,YILMAZ,duygu.yılmaz16@gmail.com,5361758103,1980-06-22,34,False,40901682116,0
56,105,4444,95.0,78.0,,105,179,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,4444,Duygu,YILMAZ,duygu.yılmaz16@gmail.com,5361758103,1980-06-22,34,False,40901682116,0
57,157,4444,15.0,59.0,,157,179,İngilizce,4,0,4,4444,Duygu,YILMAZ,duygu.yılmaz16@gmail.com,5361758103,1980-06-22,34,False,40901682116,0
58,31,6582,5.0,16.0,,31,17,Türk Dili,4,0,4,6582,Cansu,ÖZER,cansu.özer29@gmail.com,5493352292,1989-07-15,14,False,81136180583,0
59,83,6582,100.0,67.0,,83,17,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,6582,Cansu,ÖZER,cansu.özer29@gmail.com,5493352292,1989-07-15,14,False,81136180583,0
60,135,6582,94.0,38.0,,135,17,İngilizce,4,0,4,6582,Cansu,ÖZER,cansu.özer29@gmail.com,5493352292,1989-07-15,14,False,81136180583,0
61,45,8983,49.0,73.0,,45,76,Türk Dili,4,0,4,8983,Osman Buğrahan,KARA,osman buğrahan.kara12@gmail.com,5496978276,2003-03-21,34,True,98819006176,0
62,97,8983,85.0,62.0,,97,76,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,8983,Osman Buğrahan,KARA,osman buğrahan.kara12@gmail.com,5496978276,2003-03-21,34,True,98819006176,0
63,149,8983,1.0,94.0,,149,76,İngilizce,4,0,4,8983,Osman Buğrahan,KARA,osman buğrahan.kara12@gmail.com,5496978276,2003-03-21,34,True,98819006176,0
64,20,5383,20.0,32.0,,20,6,Türk Dili,4,0,4,5383,Ahmet Can,ŞİŞLİ,ahmet can.şişli72@gmail.com,5572906775,1995-01-10,52,True,78253900103,0
65,72,5383,95.0,57.0,,72,6,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,5383,Ahmet Can,ŞİŞLİ,ahmet can.şişli72@gmail.com,5572906775,1995-01-10,52,True,78253900103,0
66,124,5383,19.0,27.0,,124,6,İngilizce,4,0,4,5383,Ahmet Can,ŞİŞLİ,ahmet can.şişli72@gmail.com,5572906775,1995-01-10,52,True,78253900103,0
67,54,8723,90.0,9.0,,54,180,Türk Dili,4,0,4,8723,İlkcan Anıl,ÇAKMAK,ilkcan anıl.çakmak96@gmail.com,5339146291,1999-12-06,34,True,92047793531,0
68,106,8723,3.0,60.0,,106,180,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,8723,İlkcan Anıl,ÇAKMAK,ilkcan anıl.çakmak96@gmail.com,5339146291,1999-12-06,34,True,92047793531,0
69,158,8723,34.0,47.0,,158,180,İngilizce,4,0,4,8723,İlkcan Anıl,ÇAKMAK,ilkcan anıl.çakmak96@gmail.com,5339146291,1999-12-06,34,True,92047793531,0
70,40,7193,82.0,71.0,,40,30,Türk Dili,4,0,4,7193,Ecem Gökçe,CANDAN,ecem gökçe.candan94@gmail.com,5436749937,1988-10-14,16,False,85305167839,7
71,92,7193,99.0,35.0,,92,30,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,7193,Ecem Gökçe,CANDAN,ecem gökçe.candan94@gmail.com,5436749937,1988-10-14,16,False,85305167839,7
72,144,7193,83.0,13.0,,144,30,İngilizce,4,0,4,7193,Ecem Gökçe,CANDAN,ecem gökçe.candan94@gmail.com,5436749937,1988-10-14,16,False,85305167839,7
73,52,7882,89.0,5.0,,52,178,Türk Dili,4,0,4,7882,Esra,ORHAN,esra.orhan65@gmail.com,5572405828,1983-01-17,34,False,16446293037,0
74,104,7882,55.0,72.0,,104,178,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,7882,Esra,ORHAN,esra.orhan65@gmail.com,5572405828,1983-01-17,34,False,16446293037,0
75,156,7882,99.0,1.0,,156,178,İngilizce,4,0,4,7882,Esra,ORHAN,esra.orhan65@gmail.com,5572405828,1983-01-17,34,False,16446293037,0
76,40,8280,46.0,72.0,,40,30,Türk Dili,4,0,4,8280,Ayşegül,ŞAHİN,ayşegül.şahin37@gmail.com,5373857164,2003-09-08,34,False,11404678656,0
77,92,8280,87.0,45.0,,92,30,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,8280,Ayşegül,ŞAHİN,ayşegül.şahin37@gmail.com,5373857164,2003-09-08,34,False,11404678656,0
78,144,8280,86.0,86.0,,144,30,İngilizce,4,0,4,8280,Ayşegül,ŞAHİN,ayşegül.şahin37@gmail.com,5373857164,2003-09-08,34,False,11404678656,0
79,47,5607,2.0,100.0,,47,78,Türk Dili,4,0,4,5607,Vahdet Hüseyin,BOZKIR,vahdet hüseyin.bozkır57@gmail.com,5313682966,1985-05-14,34,True,34442887569,0
80,99,5607,23.0,21.0,,99,78,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,5607,Vahdet Hüseyin,BOZKIR,vahdet hüseyin.bozkır57@gmail.com,5313682966,1985-05-14,34,True,34442887569,0
81,151,5607,33.0,92.0,,151,78,İngilizce,4,0,4,5607,Vahdet Hüseyin,BOZKIR,vahdet hüseyin.bozkır57@gmail.com,5313682966,1985-05-14,34,True,34442887569,0
82,42,5528,53.0,67.0,,42,55,Türk Dili,4,0,4,5528,Erdem,YAZICI,erdem.yazıcı11@gmail.com,5371146288,1998-12-27,34,True,42638691229,0
83,94,5528,92.0,6.0,,94,55,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,5528,Erdem,YAZICI,erdem.yazıcı11@gmail.com,5371146288,1998-12-27,34,True,42638691229,0
84,146,5528,63.0,85.0,,146,55,İngilizce,4,0,4,5528,Erdem,YAZICI,erdem.yazıcı11@gmail.com,5371146288,1998-12-27,34,True,42638691229,0
85,58,6115,93.0,67.0,,58,184,Türk Dili,4,0,4,6115,Mehtap,ÇETİNER,mehtap.çetiner78@gmail.com,5359065767,1993-11-02,23,False,85087223651,0
86,110,6115,2.0,97.0,,110,184,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,6115,Mehtap,ÇETİNER,mehtap.çetiner78@gmail.com,5359065767,1993-11-02,23,False,85087223651,0
87,162,6115,61.0,71.0,,162,184,İngilizce,4,0,4,6115,Mehtap,ÇETİNER,mehtap.çetiner78@gmail.com,5359065767,1993-11-02,23,False,85087223651,0
88,32,7862,68.0,80.0,,32,18,Türk Dili,4,0,4,7862,İclal,YAZİCİ,iclal.yazici94@gmail.com,5432506925,1994-05-22,34,False,13456561482,0
89,84,7862,29.0,34.0,,84,18,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,7862,İclal,YAZİCİ,iclal.yazici94@gmail.com,5432506925,1994-05-22,34,False,13456561482,0
90,136,7862,24.0,24.0,,136,18,İngilizce,4,0,4,7862,İclal,YAZİCİ,iclal.yazici94@gmail.com,5432506925,1994-05-22,34,False,13456561482,0
91,44,7562,88.0,7.0,,44,75,Türk Dili,4,0,4,7562,Zafer Basri,YÜKSEL,zafer basri.yüksel43@gmail.com,5417161802,1987-05-27,19,True,23336238330,0
92,96,7562,41.0,67.0,,96,75,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,7562,Zafer Basri,YÜKSEL,zafer basri.yüksel43@gmail.com,5417161802,1987-05-27,19,True,23336238330,0
93,148,7562,40.0,94.0,,148,75,İngilizce,4,0,4,7562,Zafer Basri,YÜKSEL,zafer basri.yüksel43@gmail.com,5417161802,1987-05-27,19,True,23336238330,0
94,27,6472,14.0,79.0,,27,13,Türk Dili,4,0,4,6472,Merve,ÇATALKAYA,merve.çatalkaya53@gmail.com,5441238742,1981-07-02,6,False,44848393550,0
95,79,6472,69.0,39.0,,79,13,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,6472,Merve,ÇATALKAYA,merve.çatalkaya53@gmail.com,5441238742,1981-07-02,6,False,44848393550,0
96,131,6472,22.0,7.0,,131,13,İngilizce,4,0,4,6472,Merve,ÇATALKAYA,merve.çatalkaya53@gmail.com,5441238742,1981-07-02,6,False,44848393550,0
97,46,8516,31.0,85.0,,46,77,Türk Dili,4,0,4,8516,Ferhat,ÇAPAN,ferhat.çapan31@gmail.com,5375500406,1995-11-12,27,True,14579448585,0
98,98,8516,87.0,78.0,,98,77,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,8516,Ferhat,ÇAPAN,ferhat.çapan31@gmail.com,5375500406,1995-11-12,27,True,14579448585,0
99,150,8516,35.0,15.0,,150,77,İngilizce,4,0,4,8516,Ferhat,ÇAPAN,ferhat.çapan31@gmail.com,5375500406,1995-11-12,27,True,14579448585,0
100,16,5238,9.0,70.0,,16,2,Türk Dili,4,0,4,5238,Hamdi Tolga,BALTALI,hamdi tolga.baltalı85@gmail.com,5322865846,1992-07-10,34,True,38085208702,0
101,68,5238,89.0,75.0,,68,2,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,5238,Hamdi Tolga,BALTALI,hamdi tolga.baltalı85@gmail.com,5322865846,1992-07-10,34,True,38085208702,0
102,120,5238,41.0,37.0,,120,2,İngilizce,4,0,4,5238,Hamdi Tolga,BALTALI,hamdi tolga.baltalı85@gmail.com,5322865846,1992-07-10,34,True,38085208702,0
103,44,5438,77.0,63.0,,44,75,Türk Dili,4,0,4,5438,Özgür,USMAN IMAM,özgür.usman ımam73@gmail.com,5455359738,1999-11-26,2,True,94212955283,0
104,96,5438,53.0,68.0,,96,75,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,5438,Özgür,USMAN IMAM,özgür.usman ımam73@gmail.com,5455359738,1999-11-26,2,True,94212955283,0
105,148,5438,24.0,90.0,,148,75,İngilizce,4,0,4,5438,Özgür,USMAN IMAM,özgür.usman ımam73@gmail.com,5455359738,1999-11-26,2,True,94212955283,0
106,58,8434,19.0,18.0,,58,184,Türk Dili,4,0,4,8434,Hasan,TURALIOĞLU,hasan.turalıoğlu86@gmail.com,5346305475,1983-01-08,34,True,93253744109,0
107,110,8434,39.0,52.0,,110,184,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,8434,Hasan,TURALIOĞLU,hasan.turalıoğlu86@gmail.com,5346305475,1983-01-08,34,True,93253744109,0
108,162,8434,83.0,29.0,,162,184,İngilizce,4,0,4,8434,Hasan,TURALIOĞLU,hasan.turalıoğlu86@gmail.com,5346305475,1983-01-08,34,True,93253744109,0
109,45,8818,1.0,58.0,,45,76,Türk Dili,4,0,4,8818,Hazal,NAZLI,hazal.nazlı42@gmail.com,5422458619,1983-09-04,34,False,39344497133,0
110,97,8818,2.0,98.0,,97,76,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,8818,Hazal,NAZLI,hazal.nazlı42@gmail.com,5422458619,1983-09-04,34,False,39344497133,0
111,149,8818,11.0,52.0,,149,76,İngilizce,4,0,4,8818,Hazal,NAZLI,hazal.nazlı42@gmail.com,5422458619,1983-09-04,34,False,39344497133,0
112,16,6704,6.0,24.0,,16,2,Türk Dili,4,0,4,6704,BEDİA,ABDULKADİR ALİ,bedia.abdulkadir ali47@gmail.com,5337760511,1994-10-02,31,False,91606322859,2
113,68,6704,23.0,10.0,,68,2,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,6704,BEDİA,ABDULKADİR ALİ,bedia.abdulkadir ali47@gmail.com,5337760511,1994-10-02,31,False,91606322859,2
114,120,6704,34.0,66.0,,120,2,İngilizce,4,0,4,6704,BEDİA,ABDULKADİR ALİ,bedia.abdulkadir ali47@gmail.com,5337760511,1994-10-02,31,False,91606322859,2
115,23,4824,36.0,98.0,,23,9,Türk Dili,4,0,4,4824,Hüsrev,ERTUNA,hüsrev.ertuna34@gmail.com,5408235985,1990-07-03,60,True,74121517388,0
116,75,4824,58.0,55.0,,75,9,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,4824,Hüsrev,ERTUNA,hüsrev.ertuna34@gmail.com,5408235985,1990-07-03,60,True,74121517388,0
117,127,4824,57.0,26.0,,127,9,İngilizce,4,0,4,4824,Hüsrev,ERTUNA,hüsrev.ertuna34@gmail.com,5408235985,1990-07-03,60,True,74121517388,0
118,27,8960,55.0,3.0,,27,13,Türk Dili,4,0,4,8960,Hanife,MUHÇU,hanife.muhçu91@gmail.com,5501752696,1995-05-01,61,False,68414465261,0
119,79,8960,49.0,40.0,,79,13,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,8960,Hanife,MUHÇU,hanife.muhçu91@gmail.com,5501752696,1995-05-01,61,False,68414465261,0
120,131,8960,34.0,98.0,,131,13,İngilizce,4,0,4,8960,Hanife,MUHÇU,hanife.muhçu91@gmail.com,5501752696,1995-05-01,61,False,68414465261,0
121,58,7746,90.0,23.0,,58,184,Türk Dili,4,0,4,7746,Özge,DİNÇ,özge.dinç83@gmail.com,5566832319,1990-09-19,34,False,19460386952,0
122,110,7746,46.0,33.0,,110,184,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,7746,Özge,DİNÇ,özge.dinç83@gmail.com,5566832319,1990-09-19,34,False,19460386952,0
123,162,7746,17.0,83.0,,162,184,İngilizce,4,0,4,7746,Özge,DİNÇ,özge.dinç83@gmail.com,5566832319,1990-09-19,34,False,19460386952,0
124,38,8850,40.0,63.0,,38,28,Türk Dili,4,0,4,8850,Dorukhan,DEMİRBİLEK,dorukhan.demirbilek48@gmail.com,5517554968,1991-09-13,34,True,97628021037,0
125,90,8850,38.0,14.0,,90,28,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,8850,Dorukhan,DEMİRBİLEK,dorukhan.demirbilek48@gmail.com,5517554968,1991-09-13,34,True,97628021037,0
126,142,8850,13.0,100.0,,142,28,İngilizce,4,0,4,8850,Dorukhan,DEMİRBİLEK,dorukhan.demirbilek48@gmail.com,5517554968,1991-09-13,34,True,97628021037,0
127,49,9115,18.0,44.0,,49,103,Türk Dili,4,0,4,9115,Turgay,GEDİK,turgay.gedik98@gmail.com,5428390923,1986-10-02,28,True,35540020143,0
128,101,9115,25.0,58.0,,101,103,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,9115,Turgay,GEDİK,turgay.gedik98@gmail.com,5428390923,1986-10-02,28,True,35540020143,0
129,153,9115,96.0,24.0,,153,103,İngilizce,4,0,4,9115,Turgay,GEDİK,turgay.gedik98@gmail.com,5428390923,1986-10-02,28,True,35540020143,0
130,59,2480,88.0,26.0,,59,185,Türk Dili,4,0,4,2480,Şeyda,MOUSSA,şeyda.moussa52@gmail.com,5514718962,1982-04-24,38,False,53109477628,7
131,111,2480,84.0,15.0,,111,185,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,2480,Şeyda,MOUSSA,şeyda.moussa52@gmail.com,5514718962,1982-04-24,38,False,53109477628,7
132,163,2480,66.0,34.0,,163,185,İngilizce,4,0,4,2480,Şeyda,MOUSSA,şeyda.moussa52@gmail.com,5514718962,1982-04-24,38,False,53109477628,7
133,37,7482,26.0,84.0,,37,27,Türk Dili,4,0,4,7482,Dilan,KOCAN,dilan.kocan88@gmail.com,5599067393,1992-02-03,34,False,42456762928,0
134,89,7482,2.0,81.0,,89,27,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,7482,Dilan,KOCAN,dilan.kocan88@gmail.com,5599067393,1992-02-03,34,False,42456762928,0
135,141,7482,1.0,74.0,,141,27,İngilizce,4,0,4,7482,Dilan,KOCAN,dilan.kocan88@gmail.com,5599067393,1992-02-03,34,False,42456762928,0
136,55,8270,66.0,43.0,,55,181,Türk Dili,4,0,4,8270,Yasemin,GÜLER,yasemin.güler25@gmail.com,5463788160,2001-03-18,34,False,53933065537,0
137,107,8270,33.0,20.0,,107,181,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,8270,Yasemin,GÜLER,yasemin.güler25@gmail.com,5463788160,2001-03-18,34,False,53933065537,0
138,159,8270,83.0,29.0,,159,181,İngilizce,4,0,4,8270,Yasemin,GÜLER,yasemin.güler25@gmail.com,5463788160,2001-03-18,34,False,53933065537,0
139,66,8210,2.0,5.0,,66,302,Türk Dili,4,0,4,8210,Şemse,KUTSAL,şemse.kutsal26@gmail.com,5406102659,2001-12-01,31,False,87953821347,0
140,118,8210,1.0,6.0,,118,302,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,8210,Şemse,KUTSAL,şemse.kutsal26@gmail.com,5406102659,2001-12-01,31,False,87953821347,0
141,170,8210,47.0,44.0,,170,302,İngilizce,4,0,4,8210,Şemse,KUTSAL,şemse.kutsal26@gmail.com,5406102659,2001-12-01,31,False,87953821347,0
142,55,7283,57.0,12.0,,55,181,Türk Dili,4,0,4,7283,Müge,BULAT ÇETİNKAYA,müge.bulat çetinkaya10@gmail.com,5353005533,1998-07-14,6,False,30075909801,0
143,107,7283,58.0,41.0,,107,181,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,7283,Müge,BULAT ÇETİNKAYA,müge.bulat çetinkaya10@gmail.com,5353005533,1998-07-14,6,False,30075909801,0
